batch,average_reward
0,92.8
1,72.2
2,92.4
3,80.8
4,86.2
5,86.8
6,74.6
7,67
8,100.6
9,83.4
10,81.2
11,78.2
12,74.2
13,73.4
14,88.6
15,72.8
16,104.4
17,98.4
18,65.2
19,96.6
20,76
21,89.6
22,97.4
23,73.4
24,107
25,62.4
26,59.8
27,79.2
28,100.4
29,90.6
30,91.8
31,93.6
32,96.6
33,82.4
34,103.2
35,76.8
36,127.2
37,58.8
38,110.8
39,78.6
40,93.8
41,113.2
42,70.6
43,80
44,103.8
45,81.8
46,105.6
47,115.8
48,84
49,105.6
50,92.8
51,99.4
52,118
53,95.8
54,92.2
55,102.8
56,82
57,87
58,140.6
59,91.6
60,109.8
61,74
62,93.4
63,123.6
64,127.2
65,79.6
66,83
67,92
68,111.2
69,101.2
70,84.4
71,96
72,60
73,103
74,119
75,83
76,86.4
77,113.8
78,90.4
79,86.4
80,98.2
81,179.2
82,106.6
83,79
84,76.2
85,87.2
86,91.8
87,79.4
88,76.6
89,117.4
90,70.4
91,94.2
92,87
93,103.8
94,66.2
95,89.8
96,68
97,97.8
98,92.6
99,77
100,88.4
101,110.2
102,108
103,120.6
104,115.2
105,115
106,106.8
107,110.4
108,103.6
109,129.6
110,100.6
111,109.6
112,112.2
113,91.8
114,107.8
115,77
116,153.6
117,80.2
118,61.8
119,80
120,108.4
121,61.4
122,96.8
123,83
124,73.8
125,107.2
126,131.2
127,113.8
128,121.4
129,132.6
130,114.8
131,77
132,120.4
133,91.2
134,118.4
135,122.8
136,78
137,118.8
138,80.4
139,91.8
140,111.6
141,100.6
142,96.6
143,99
144,79.4
145,99.8
146,123
147,98.6
148,120
149,97
150,91
151,82
152,90.2
153,100.4
154,77
155,98.8
156,107.8
157,97.2
158,131.4
159,112.8
160,125.8
161,108.2
162,151.2
163,98.4
164,111
165,93.6
166,131.8
167,114.8
168,108.4
169,129.2
170,105.8
171,98
172,124.2
173,101.2
174,114.8
175,78.8
176,104.4
177,88.6
178,118.6
179,100.4
180,79.8
181,100
182,133.4
183,110.6
184,126.8
185,107.4
186,93.8
187,144.4
188,113.2
189,88.4
190,117.6
191,110.8
192,102.8
193,74.8
194,102.2
195,123.6
196,91.8
197,146.4
198,102
199,128.2
200,113.4
201,113
202,95.4
203,168.4
204,112.6
205,90.2
206,82.6
207,144.2
208,123.6
209,99.6
210,96
211,100
212,105.6
213,164.4
214,168.8
215,114
216,113.2
217,133.8
218,117.2
219,148.4
220,95.8
221,83.6
222,100.6
223,164.6
224,136.4
225,66.2
226,141
227,124.2
228,104
229,85.6
230,132
231,96.2
232,108.2
233,134.6
234,107.6
235,111.2
236,92.6
237,101.8
238,126.2
239,95.2
240,102
241,97.4
242,111.4
243,115.8
244,118
245,144
246,95.8
247,130.8
248,94.8
249,143.8
250,108.8
251,106
252,116.2
253,115.8
254,113.8
255,94.8
256,97.4
257,95.8
258,110.2
259,101.4
260,117.6
261,131.2
262,97
263,161.8
264,126
265,121.8
266,115
267,103.6
268,90
269,104.6
270,169
271,109.2
272,104.8
273,99.2
274,79.4
275,126
276,103.6
277,126.4
278,93.2
279,83.8
280,100.2
281,93.8
282,120.2
283,114
284,108
285,150.4
286,86.2
287,169.8
288,157.2
289,100.4
290,112.4
291,91.4
292,131
293,100
294,109.2
295,116.8
296,117
297,156.8
298,135.6
299,117.4
300,103
301,160
302,154.6
303,162.6
304,119.2
305,94.2
306,159.6
307,135.2
308,135.8
309,125.2
310,147.6
311,85.2
312,141
313,99.2
314,134.4
315,98.8
316,108.8
317,122.4
318,137.6
319,108.2
320,113
321,115.8
322,113.6
323,98.4
324,135.8
325,151.6
326,132.4
327,87.6
328,79.8
329,79.8
330,85.6
331,130.8
332,101.4
333,116.2
334,158.8
335,97.6
336,118
337,120.8
338,78
339,118.6
340,85
341,104.4
342,114.2
343,111.4
344,126
345,99.4
346,106
347,129
348,127.4
349,76.2
350,115.6
351,105.6
352,117.2
353,110
354,102.8
355,103.4
356,171
357,119
358,121.4
359,103.6
360,139.4
361,98.6
362,128.4
363,99
364,94.8
365,89.4
366,99.2
367,111.4
368,107
369,128.2
370,106.4
371,118.6
372,81.4
373,85.6
374,84.2
375,88.4
376,97.6
377,158
378,96
379,134.4
380,139.6
381,119
382,123.2
383,139.2
384,167
385,96.4
386,134.4
387,126
388,143.4
389,114.6
390,99
391,152.2
392,135.8
393,159
394,109.2
395,129
396,89.2
397,127.4
398,138.6
399,106.2
400,144.8
401,108.8
402,96
403,115.4
404,97
405,91.4
406,109.4
407,131.8
408,101.4
409,132.2
410,135
411,124.2
412,151.2
413,164
414,118.6
415,125.4
416,116.8
417,110.6
418,137.8
419,89.6
420,114.6
421,130
422,84
423,107.8
424,122
425,86.6
426,135.6
427,124
428,111.8
429,118.2
430,145.8
431,134.6
432,126.2
433,120.4
434,119.8
435,90.2
436,121.8
437,139
438,102.4
439,111
440,127
441,114.8
442,109.4
443,111
444,145.6
445,109.6
446,84.4
447,127.2
448,121
449,107.4
450,118
451,123.6
452,129.4
453,94.6
454,117.2
455,116.4
456,110.8
457,127.2
458,103.6
459,103.8
460,104.2
461,121.2
462,131.4
463,98.8
464,105
465,168.8
466,117
467,177.6
468,126.4
469,136.6
470,134.2
471,107
472,106
473,142.2
474,151
475,94
476,150.4
477,150
478,150.2
479,121.4
480,104.6
481,98.2
482,93.4
483,169.8
484,171.6
485,141
486,137.6
487,153.8
488,136.2
489,87.8
490,130.6
491,121.2
492,116.6
493,116.8
494,119.4
495,109
496,191
497,103.2
498,121.2
499,108.6
500,105
501,111
502,139.2
503,153.6
504,115.4
505,124
506,109.4
507,199.4
508,130
509,109.6
510,119.4
511,101.6
512,140
513,118.2
514,93.4
515,96.6
516,148.8
517,130
518,127.4
519,119.2
520,149
521,123.4
522,130.6
523,104.2
524,190.4
525,109.4
526,178.2
527,168.4
528,91.8
529,150.2
530,138
531,129.2
532,136.6
533,80.2
534,102.4
535,156
536,66.2
537,139
538,79
539,117
540,110.4
541,148.6
542,102.4
543,141.6
544,95.6
545,133.6
546,151.6
547,89.2
548,69.2
549,151.8
550,170.6
551,147.2
552,143.6
553,136.2
554,141.8
555,125.4
556,140.8
557,195
558,123.6
559,167.2
560,127.8
561,83.6
562,132.4
563,94.8
564,114.6
565,142.6
566,113.8
567,143.8
568,123
569,131.6
570,136
571,170
572,150
573,167
574,90.6
575,109.8
576,107
577,135.2
578,115.2
579,121.6
580,149.8
581,134.6
582,121.6
583,111.6
584,135.6
585,115.2
586,90.2
587,95.8
588,160.6
589,115.6
590,100.8
591,121
592,152.4
593,138
594,113.4
595,114.8
596,106.8
597,92.6
598,174.8
599,117
600,130
601,128.4
602,117
603,92
604,144
605,122.2
606,140.2
607,112.4
608,92.8
609,160.6
610,132.8
611,122.2
612,111.4
613,107.4
614,160
615,111.4
616,160.8
617,156.8
618,138
619,106.8
620,107.4
621,171.4
622,165.4
623,192
624,127
625,101.8
626,138.8
627,102.6
628,113.2
629,154.4
630,138.2
631,155.6
632,124.4
633,197.2
634,177.4
635,133.4
636,103.2
637,90.8
638,124.2
639,125.8
640,175
641,98
642,133.2
643,152.6
644,147.4
645,120.4
646,123.2
647,103.4
648,164
649,124.4
650,122.4
651,122.4
652,137.8
653,155.4
654,127.2
655,138
656,130.4
657,134
658,136
659,135.8
660,168.2
661,83
662,124.6
663,130.4
664,167.2
665,147.6
666,127.2
667,108.6
668,112.2
669,166.6
670,98.2
671,229.8
672,99.6
673,148.2
674,120
675,137.4
676,114.2
677,140.2
678,126
679,102.8
680,131.6
681,121.4
682,138.4
683,103.6
684,122.6
685,127.2
686,173.2
687,141
688,138
689,174.6
690,189.4
691,112.6
692,110.4
693,152.6
694,146.2
695,117.8
696,147
697,146.8
698,138.2
699,103.8
700,137.4
701,103.8
702,129.8
703,167.4
704,97.2
705,145
706,124.4
707,157
708,148.6
709,153.6
710,148.8
711,153
712,124.8
713,139.4
714,100.6
715,173
716,112.6
717,103
718,102.8
719,188.2
720,148.4
721,163
722,146.8
723,154.6
724,156
725,91.2
726,128
727,152.8
728,119.6
729,113.6
730,187.6
731,141
732,146.6
733,170.4
734,121
735,162.2
736,128.2
737,148.6
738,115.6
739,181
740,140.4
741,99.4
742,133
743,180.4
744,126.8
745,95.6
746,138
747,143.4
748,166.8
749,116.6
750,169.2
751,155.2
752,167.4
753,148.2
754,146.8
755,137.4
756,149.6
757,146.4
758,149.4
759,117.2
760,115.8
761,160.4
762,115.8
763,156.2
764,119
765,142.2
766,111
767,121
768,125.8
769,123.8
770,124.8
771,190.2
772,114.8
773,137.8
774,149
775,137.2
776,126.6
777,123.8
778,126.4
779,130
780,129.2
781,131.2
782,138.6
783,175.2
784,120
785,132.4
786,144
787,181
788,137
789,119.4
790,156.4
791,135
792,127
793,169.6
794,188.6
795,151.2
796,117.6
797,153.6
798,134.6
799,150
800,104.2
801,125.2
802,124
803,130
804,124.2
805,149.8
806,165
807,161
808,144.6
809,163.4
810,128.8
811,125
812,170.2
813,168.4
814,165.2
815,112.2
816,170.8
817,125
818,116.4
819,172.4
820,156.8
821,94.2
822,148
823,94.4
824,172.2
825,133.2
826,157.4
827,120.4
828,182.4
829,157
830,127.6
831,94.2
832,98.2
833,146.6
834,155
835,87
836,167
837,164.8
838,118.6
839,113
840,123.2
841,183.8
842,142.2
843,146.6
844,139
845,159.2
846,148.8
847,139.6
848,122
849,99.6
850,165.2
851,139
852,125.4
853,142.8
854,149.8
855,173.2
856,142.4
857,187.8
858,120.6
859,116.4
860,121.6
861,106.8
862,157
863,180.2
864,121.2
865,181
866,114.4
867,87
868,169
869,183.2
870,187.2
871,186.2
872,120.8
873,113
874,146.6
875,130
876,173.8
877,147.2
878,237.8
879,190.4
880,170.4
881,122
882,127.2
883,173.8
884,145.6
885,144
886,106.6
887,170.6
888,137.6
889,165.8
890,153.2
891,182.2
892,134.6
893,189
894,200.2
895,155.2
896,120.4
897,163
898,167.2
899,130.6
900,165.6
901,187.4
902,194.2
903,129.2
904,197
905,165.2
906,138.8
907,157
908,135.4
909,195.4
910,147.4
911,192.8
912,112.4
913,127.8
914,139
915,110.6
916,134.8
917,169.2
918,182
919,140.2
920,205.6
921,168.2
922,127.4
923,115.4
924,217
925,151
926,150.4
927,144
928,135.8
929,136
930,197.4
931,104.2
932,169.6
933,152.6
934,119.8
935,152.6
936,137.2
937,166.6
938,146.2
939,128.6
940,143.6
941,180.2
942,151
943,136.4
944,240.8
945,174.2
946,139.6
947,179.6
948,175.6
949,162.2
950,142.6
951,152.8
952,170.8
953,210
954,190.4
955,164.8
956,156.6
957,158.2
958,124
959,178.8
960,109.2
961,192.4
962,167
963,209.2
964,150.6
965,193
966,172.6
967,136.8
968,152.2
969,137.6
970,248.2
971,159.4
972,125.8
973,136.6
974,208.2
975,173.6
976,136.8
977,168
978,152
979,135.8
980,226.8
981,125.6
982,185
983,155
984,156.4
985,144.4
986,143.4
987,155.4
988,127.4
989,176.6
990,123
991,145.2
992,169
993,136
994,177.6
995,219.8
996,185.8
997,177
998,165.2
999,163.6
1000,169.4
1001,176
1002,156.2
1003,163.8
1004,131.4
1005,168.4
1006,119.6
1007,130.6
1008,144.4
1009,156.2
1010,149.6
1011,125.2
1012,194.6
1013,196
1014,141.6
1015,160.4
1016,183.4
1017,154.4
1018,225
1019,125.8
1020,188.2
1021,154.2
1022,190.2
1023,164.4
1024,205
1025,135.4
1026,190
1027,113.2
1028,152.2
1029,131.4
1030,170.2
1031,116
1032,144.2
1033,153.2
1034,128.2
1035,120.4
1036,216.4
1037,111.8
1038,198.8
1039,125
1040,126.4
1041,131
1042,156
1043,183.6
1044,162.6
1045,137.4
1046,140.8
1047,166
1048,152
1049,165
1050,171
1051,172.2
1052,157.8
1053,133.4
1054,141.6
1055,156
1056,148.8
1057,146
1058,140.4
1059,140.2
1060,165.8
1061,151.8
1062,163.6
1063,146.6
1064,120.8
1065,132.2
1066,110.6
1067,194
1068,161.4
1069,130.8
1070,141.2
1071,155.2
1072,172.6
1073,135.4
1074,147.6
1075,186.4
1076,173.4
1077,135.2
1078,131.6
1079,192.6
1080,191
1081,186.6
1082,153.8
1083,141.4
1084,139.2
1085,184.6
1086,131.8
1087,192
1088,156.6
1089,187.8
1090,119
1091,157
1092,167
1093,172.2
1094,173.8
1095,150.4
1096,152.6
1097,154.6
1098,141.4
1099,173
1100,152
1101,153.6
1102,160.6
1103,156.8
1104,179
1105,222.2
1106,157.8
1107,188
1108,155
1109,194.6
1110,162.6
1111,106.4
1112,180.8
1113,144.6
1114,141.4
1115,155
1116,150.8
1117,149.6
1118,175.4
1119,130
1120,149
1121,138.4
1122,189.2
1123,106.4
1124,173.8
1125,156.4
1126,150
1127,180.8
1128,164.4
1129,150
1130,153.8
1131,164.6
1132,233.4
1133,145.4
1134,241.8
1135,171
1136,130.4
1137,157
1138,176.8
1139,121.4
1140,115.8
1141,153
1142,166
1143,171.2
1144,133.2
1145,203.4
1146,172.2
1147,156.6
1148,156.6
1149,146.6
1150,109.4
1151,108.8
1152,141
1153,125.2
1154,158.2
1155,138.2
1156,166.6
1157,98.4
1158,167.2
1159,152.2
1160,131.4
1161,187.4
1162,165.6
1163,168.8
1164,96
1165,121.6
1166,127
1167,162.8
1168,154.6
1169,141.8
1170,139.2
1171,186.2
1172,188
1173,160.6
1174,196.8
1175,192.4
1176,180.4
1177,196
1178,177.8
1179,169
1180,127.4
1181,256.2
1182,169.8
1183,185.2
1184,166.8
1185,140
1186,189.8
1187,184.2
1188,155.2
1189,158.6
1190,202
1191,158.6
1192,188
1193,187.8
1194,202.8
1195,147.6
1196,112.4
1197,144.6
1198,171.6
1199,131.8
1200,138
1201,174.8
1202,227.4
1203,184
1204,154.4
1205,130.6
1206,143.6
1207,165.6
1208,125.6
1209,178
1210,208.2
1211,170.6
1212,173.2
1213,157
1214,186.4
1215,205.8
1216,167.8
1217,183
1218,167.4
1219,199.8
1220,198.6
1221,156.6
1222,172.8
1223,157.4
1224,157.4
1225,170.8
1226,158
1227,142.8
1228,180.8
1229,171.6
1230,159
1231,180.4
1232,127.4
1233,152
1234,118.4
1235,166.6
1236,151.2
1237,220.6
1238,180.8
1239,130.2
1240,182.2
1241,163.8
1242,159.2
1243,150.2
1244,188
1245,152.6
1246,116.4
1247,133.2
1248,187.6
1249,174.6
1250,195.2
1251,204.2
1252,137.4
1253,202.4
1254,226.8
1255,210
1256,141.2
1257,169.6
1258,131.6
1259,201.4
1260,226
1261,212.4
1262,134
1263,153.4
1264,172.6
1265,155.2
1266,136
1267,149
1268,186.2
1269,191.4
1270,174.6
1271,188
1272,154
1273,151.6
1274,166.6
1275,220.8
1276,226.4
1277,164.4
1278,165
1279,139.4
1280,169.4
1281,148.2
1282,178.4
1283,187
1284,122.2
1285,179.2
1286,195.2
1287,143.2
1288,176
1289,184.2
1290,198
1291,170.6
1292,134.8
1293,187.2
1294,220.2
1295,162.4
1296,161.6
1297,168.2
1298,268.4
1299,243.4
1300,150.4
1301,174.8
1302,146.2
1303,196.2
1304,110
1305,141.2
1306,205.8
1307,248.4
1308,140.2
1309,224.8
1310,160.2
1311,148.8
1312,131.6
1313,166.2
1314,154.8
1315,207.2
1316,185.2
1317,187
1318,156.6
1319,164.6
1320,170.4
1321,195
1322,164.2
1323,159.4
1324,151.6
1325,116.4
1326,205.8
1327,172.2
1328,150.8
1329,175.8
1330,225.4
1331,157.2
1332,121.6
1333,137.6
1334,122.2
1335,201.4
1336,154.8
1337,186.4
1338,154.6
1339,153
1340,171.6
1341,178.4
1342,154.6
1343,154.8
1344,165.4
1345,136.4
1346,189.8
1347,134.6
1348,171.4
1349,174.4
1350,160.6
1351,124.2
1352,252.4
1353,149.6
1354,175.2
1355,243.8
1356,159.8
1357,176.6
1358,162.6
1359,146.6
1360,176.2
1361,122
1362,162.2
1363,155.8
1364,130.6
1365,144.8
1366,195.4
1367,150.2
1368,219.2
1369,231.6
1370,162.2
1371,181.2
1372,118
1373,176.2
1374,212.6
1375,198
1376,178.2
1377,183.2
1378,214.6
1379,169.8
1380,167.8
1381,207
1382,158.6
1383,186.8
1384,157.8
1385,152.8
1386,185.4
1387,169.6
1388,241.6
1389,161.4
1390,196.2
1391,117
1392,153.8
1393,161.2
1394,201.4
1395,149.6
1396,141
1397,191.4
1398,182
1399,212
1400,203.8
1401,180
1402,147.8
1403,196.2
1404,189
1405,265
1406,184.6
1407,206.6
1408,165.2
1409,127.4
1410,187.6
1411,190
1412,152
1413,161.4
1414,176.6
1415,149.6
1416,214.4
1417,155.6
1418,126
1419,189.4
1420,192
1421,148.6
1422,262.6
1423,127.8
1424,179.2
1425,173.8
1426,187.2
1427,135.4
1428,185.4
1429,228.6
1430,151.4
1431,161.2
1432,209.6
1433,203.2
1434,225
1435,167.4
1436,161.2
1437,132.8
1438,166.4
1439,168.2
1440,197
1441,213.8
1442,120.6
1443,185.2
1444,111.4
1445,168.2
1446,130.8
1447,175.2
1448,192.2
1449,126.2
1450,224.4
1451,143.8
1452,170
1453,159.8
1454,190.2
1455,216.4
1456,136.2
1457,245
1458,160.8
1459,216.4
1460,176.2
1461,256.6
1462,148
1463,159.2
1464,144
1465,140.2
1466,220.2
1467,226.6
1468,163.4
1469,138.4
1470,233.8
1471,142.6
1472,136.4
1473,207.8
1474,138
1475,173
1476,156.6
1477,209.4
1478,143.8
1479,247.6
1480,187
1481,217
1482,202
1483,145.2
1484,151.4
1485,208.8
1486,191.6
1487,165.2
1488,211.6
1489,180.4
1490,204.8
1491,198.8
1492,159.6
1493,199.2
1494,158.8
1495,142.6
1496,210
1497,207.4
1498,205.2
1499,187.4
1500,157.4
1501,159.4
1502,238
1503,145.6
1504,138.2
1505,212.2
1506,147.6
1507,169.8
1508,200.2
1509,218.4
1510,197.8
1511,159.2
1512,161
1513,225.2
1514,176.6
1515,160.4
1516,144
1517,152.4
1518,180.2
1519,172.6
1520,199.2
1521,182.6
1522,158.8
1523,203.8
1524,184.8
1525,175.6
1526,132.6
1527,161.2
1528,161.2
1529,187.4
1530,185.4
1531,275.4
1532,178.8
1533,218
1534,197
1535,186.6
1536,209
1537,135
1538,241.2
1539,207
1540,147.4
1541,190
1542,190.4
1543,195.6
1544,154.2
1545,105
1546,194
1547,203
1548,182
1549,153.2
1550,144
1551,183.6
1552,229.8
1553,176.6
1554,152.8
1555,170
1556,193.4
1557,166
1558,177.2
1559,189
1560,180
1561,193.4
1562,196.4
1563,166.4
1564,184.8
1565,197
1566,181.2
1567,219.8
1568,139.2
1569,220.6
1570,187.6
1571,135.6
1572,153.6
1573,183.2
1574,214.2
1575,172.6
1576,170.2
1577,180
1578,140.8
1579,172.2
1580,167.2
1581,164
1582,266
1583,193
1584,181
1585,171.8
1586,163
1587,195.2
1588,203.6
1589,131.6
1590,208.4
1591,247.8
1592,192.8
1593,231.2
1594,146.6
1595,195
1596,177
1597,186.8
1598,298.4
1599,231.8
1600,213.6
1601,170.6
1602,171
1603,215.6
1604,194.4
1605,245.2
1606,190.2
1607,214
1608,181.8
1609,200.6
1610,203.4
1611,185.8
1612,157.6
1613,224
1614,188.8
1615,195.6
1616,166.4
1617,179.6
1618,214.2
1619,213.2
1620,198.2
1621,188.2
1622,163.6
1623,145.2
1624,139
1625,209.8
1626,190
1627,200.8
1628,196.6
1629,191.8
1630,172.4
1631,235.4
1632,161.8
1633,214.6
1634,175
1635,167.4
1636,202.4
1637,203.8
1638,168.6
1639,174.6
1640,167.6
1641,128.8
1642,209
1643,139.6
1644,234.6
1645,171.2
1646,235.6
1647,155.2
1648,167
1649,199
1650,243.6
1651,183.4
1652,183.2
1653,191.8
1654,210
1655,187.4
1656,209.6
1657,141.8
1658,160.8
1659,252.8
1660,256
1661,197.8
1662,164.4
1663,210.8
1664,174
1665,180.6
1666,277
1667,248.8
1668,216.8
1669,168.6
1670,178.2
1671,173.2
1672,213
1673,167.6
1674,194.2
1675,176.2
1676,178.6
1677,289.6
1678,209.6
1679,168.8
1680,190
1681,177
1682,159.2
1683,170
1684,245.4
1685,162.2
1686,159.2
1687,188
1688,170.8
1689,214.4
1690,132.4
1691,193.4
1692,166.8
1693,198.8
1694,150.8
1695,195.6
1696,169.2
1697,179.8
1698,177.4
1699,275.2
1700,163
1701,239
1702,212
1703,194.4
1704,199.8
1705,134.6
1706,206.2
1707,188
1708,148.2
1709,182.8
1710,188.6
1711,188.4
1712,245.6
1713,131.8
1714,232.4
1715,156.6
1716,272
1717,185.2
1718,194.4
1719,206
1720,189.2
1721,216.6
1722,201.2
1723,226
1724,179.4
1725,168.2
1726,162.6
1727,173.4
1728,227.2
1729,224.4
1730,218.2
1731,223.2
1732,207.8
1733,222
1734,240.8
1735,210.4
1736,197.6
1737,222.8
1738,198.4
1739,199.2
1740,196.6
1741,204
1742,181.4
1743,197.6
1744,207.2
1745,210.4
1746,223.4
1747,178.2
1748,169.2
1749,195
1750,250.2
1751,182.8
1752,188.6
1753,187.6
1754,197
1755,159.6
1756,203.8
1757,235.6
1758,143.8
1759,224.6
1760,199.4
1761,213
1762,243.8
1763,182.8
1764,167.8
1765,197.8
1766,187
1767,185
1768,161.4
1769,243.6
1770,200.2
1771,221.2
1772,218.2
1773,202.8
1774,250.8
1775,200.4
1776,145.8
1777,149.6
1778,253.6
1779,198.8
1780,196.4
1781,254.4
1782,176.6
1783,206.8
1784,213.4
1785,170.8
1786,111.6
1787,148
1788,224.6
1789,240.6
1790,167.8
1791,180.4
1792,276.8
1793,185.8
1794,207.8
1795,216.2
1796,161.8
1797,212.8
1798,157.2
1799,177
1800,236.6
1801,214.4
1802,150.4
1803,185
1804,159.8
1805,179.6
1806,158
1807,153.6
1808,194.2
1809,219.4
1810,262.2
1811,205.8
1812,172.6
1813,173.6
1814,199.8
1815,206
1816,213.6
1817,190
1818,204.4
1819,197.8
1820,213.6
1821,239
1822,173
1823,179.8
1824,137.8
1825,151
1826,181.6
1827,208.2
1828,158.2
1829,199.2
1830,142.8
1831,216.4
1832,168.8
1833,134.4
1834,219
1835,227.4
1836,207.8
1837,214
1838,156.2
1839,205.2
1840,283.4
1841,235.8
1842,255.8
1843,182.6
1844,173
1845,254.2
1846,238
1847,166.8
1848,220.8
1849,216.2
1850,229.2
1851,239
1852,192.8
1853,219.4
1854,255
1855,196
1856,170
1857,156.6
1858,201.2
1859,237.2
1860,191.6
1861,278
1862,179.6
1863,203.4
1864,204.2
1865,215.4
1866,189
1867,167.4
1868,183.6
1869,202.2
1870,270.4
1871,221
1872,159.6
1873,188.8
1874,179
1875,180.6
1876,187.6
1877,195
1878,198.6
1879,237
1880,178.2
1881,169.4
1882,205.4
1883,191.8
1884,177.6
1885,303.4
1886,160.6
1887,135
1888,240.2
1889,267.8
1890,266.6
1891,263.6
1892,183.4
1893,207.2
1894,174
1895,236.2
1896,193.4
1897,261.8
1898,203.4
1899,173.8
1900,156
1901,167
1902,187.2
1903,184.8
1904,192.4
1905,221.8
1906,207.4
1907,192.8
1908,206.8
1909,182.6
1910,208.8
1911,199.6
1912,185.6
1913,191.6
1914,215
1915,284
1916,222.8
1917,229.2
1918,168.8
1919,199.2
1920,180.2
1921,211.2
1922,230.2
1923,179.4
1924,259.8
1925,302
1926,190.2
1927,207
1928,211.4
1929,227
1930,227.2
1931,253.8
1932,254.8
1933,197
