batch,average_reward
0,77.4
1,84.3667
2,87.0333
3,106.3
4,90.2
5,113.867
6,99.9667
7,104
8,119.467
9,111.567
10,124.9
11,118.7
12,118.367
13,124.267
14,114.033
15,142.633
16,167.833
17,144.5
18,130.8
19,148.733
20,154.167
21,160.933
22,162.333
23,147.767
24,173.333
25,159.767
26,179.867
27,170.467
28,197.567
29,180.8
30,185.5
31,202.1
32,212.633
33,226.233
34,220.633
35,233.6
36,206.2
37,219.033
38,217.767
39,222.667
40,241.967
41,224.333
42,224.7
43,248.733
44,223.833
45,222.6
46,237.033
47,263.2
48,243.133
49,227.7
50,228.033
51,257.433
52,270.2
53,268.133
54,264.367
55,288.233
56,269.5
57,236.7
58,267.867
59,260.067
60,279.5
61,259.467
62,279.167
63,277.033
64,255.667
65,285.333
66,272.6
67,286.633
68,263.6
69,278.1
70,296.967
71,300.2
72,303.433
73,270.1
74,289
75,289.967
76,303.733
77,255.133
78,333.6
79,292.5
80,285.967
81,307.633
82,275.767
83,314.567
84,316.7
85,273.267
86,322.567
87,308.767
88,309.733
89,329.867
90,300.433
91,321.133
92,281.933
93,318.067
94,347.267
95,316.567
96,312
97,299.833
98,303.2
99,319.5
100,309.733
101,334.967
102,318.5
103,324.433
104,308.333
105,306.2
106,326.8
107,316.2
108,326.5
109,325.267
110,337.2
111,337.4
112,317.9
113,333.1
114,342.4
115,346.5
116,330.933
117,364.1
118,357.867
119,369.467
120,356
121,346.067
122,331.8
123,364.7
124,395.667
125,372.767
126,369.1
127,347.967
128,367.9
129,400.067
130,401.033
131,377.7
132,397.867
133,400.033
134,396.5
135,369.167
136,389.433
137,400.967
138,387.633
139,406.767
140,426.633
141,391.967
142,418.933
143,419.5
144,409.367
145,398.733
146,441.233
147,401.5
148,424.033
149,392.1
150,395.433
151,432.833
152,438.133
153,448.233
154,444.367
155,430.067
156,416.433
157,406.9
158,440.033
159,445.033
160,441.833
161,435.867
162,401.367
163,395.8
164,401.467
165,450.733
166,440.667
167,435.9
168,398.933
169,427.733
170,434.1
171,445.833
172,421.7
173,448.5
174,457.967
175,445.867
176,442.6
177,452.333
178,450.967
179,453.967
180,445.1
181,468.733
182,416.1
183,423.4
184,456.9
185,436.067
186,422.1
187,445.033
188,408.8
189,451.033
190,457.333
191,444.033
192,455.5
193,475.1
194,483.367
195,461.933
196,459.2
197,472.2
198,485.067
199,465.167
200,471.467
201,470.367
202,452.933
203,480.867
204,465.767
205,461.733
206,494.9
207,478
208,471.467
209,445.9
210,476.2
211,482.9
212,447.8
213,479.933
214,464.733
215,457.667
216,490.733
217,467.8
218,477.4
219,468.833
220,470.5
221,485.167
222,474.433
223,465.1
224,453.433
225,470.667
226,472.667
227,442.8
228,484.3
229,464.433
230,453.433
231,492.8
232,460.5
233,480.7
234,488.667
235,488.7
236,482.833
237,484.8
238,488.5
239,462.4
240,498.9
241,490.6
242,495.2
243,489.1
244,472.367
245,479.333
246,487.233
247,485.467
248,499.233
249,461.5
250,492.967
251,494.567
252,493.067
253,487.067
254,499.867
255,500
256,487.3
257,469.833
258,476.5
259,480.733
260,488.067
261,484.2
262,491.667
263,486.367
264,484.067
265,496.933
266,471.333
267,495.6
268,486.8
269,488.4
270,493.6
271,481.9
272,491.833
273,479.367
274,496.933
275,485.633
276,481.967
277,493.2
278,461.467
279,480.5
280,489.233
281,491.667
282,480.433
283,497.467
284,500
285,493.6
286,499.867
287,494.067
288,491.333
289,476.4
290,485.7
291,483.567
292,493.133
293,491.333
294,500
295,489.233
296,480.7
297,500
298,485.7
299,497.233
300,489.367
301,488.733
302,472.833
303,483.967
304,486.7
305,484.667
306,469.3
307,463.4
308,482.5
309,498.2
310,499.033
311,481.167
312,500
313,498.267
314,500
315,472.667
316,486.9
317,485.567
318,500
319,484.367
320,493.633
321,473.567
322,483.1
323,490.633
324,482.233
325,494.767
326,497.867
327,494.733
328,500
329,487.5
330,498.633
331,489.467
332,500
333,493.067
334,489.533
335,491.667
336,487.8
337,497.333
338,493.167
339,492.433
340,490.267
341,478.4
342,496.5
343,490.8
344,480.633
345,482.267
346,434.667
347,450.1
348,473.833
349,475.267
350,471.067
351,469.8
352,492.8
353,490.267
354,488
355,491.3
356,494.733
357,498.133
358,491.4
359,495.067
360,500
361,490.633
362,494.5
363,500
364,499.4
365,499.967
366,500
367,492.167
368,495.5
369,493.267
370,498.933
371,499.333
372,500
373,494.633
374,498.667
375,495.933
376,494.933
377,500
378,498.567
379,500
380,500
381,492.733
382,499.6
383,488.333
384,498.033
385,497.867
386,494.367
387,500
388,498.6
389,500
390,499.267
391,500
392,500
393,498.467
