batch,average_reward
0,80.2
1,83.8
2,110.8
3,117.8
4,82.6
5,66
6,56.8
7,106.4
8,80.6
9,142.2
10,140.6
11,103.8
12,70.8
13,131.4
14,121.8
15,107.6
16,70.8
17,80
18,147.4
19,128
20,141
21,126.8
22,107.2
23,104
24,96.2
25,151.6
26,121.2
27,124.4
28,144
29,85
30,137.8
31,131.4
32,144.6
33,137.8
34,133.8
35,144.6
36,138.2
37,129.8
38,141.8
39,145
40,101.6
41,121
42,138
43,124.8
44,138.8
45,166.6
46,139.8
47,152.2
48,150.8
49,119
50,189.6
51,222.2
52,145
53,136.6
54,171.4
55,187.2
56,195
57,124.4
58,131.8
59,171.2
60,198.2
61,174
62,166.6
63,185.2
64,122.2
65,185.6
66,209.2
67,155.8
68,162.6
69,224.2
70,212.4
71,123.2
72,186.8
73,161.6
74,139.8
75,192
76,216.8
77,150.8
78,188.2
79,156
80,167.6
81,192
82,155.6
83,151.2
84,197.4
85,131.4
86,124.2
87,158.2
88,173.4
89,149.6
90,267.2
91,190.6
92,215.2
93,192
94,207.6
95,173.4
96,188.2
97,191
98,220.8
99,236
100,156.4
101,122.8
102,145.6
103,180
104,186.6
105,143.6
106,234
107,196.6
108,204
109,168.4
110,121.6
111,200.2
112,196.8
113,241.6
114,208.4
115,186.6
116,235.2
117,208.4
118,229.4
119,246
120,212.4
121,184.6
122,176.4
123,201.6
124,174.4
125,265.2
126,173.2
127,258.4
128,264.6
129,204.8
130,170.6
131,181.2
132,195
133,266.8
134,188.2
135,230.4
136,177.2
137,215
138,205.8
139,181.2
140,224
141,144.4
142,134.6
143,175.2
144,176.2
145,146.4
146,150.2
147,202
148,227
149,201.4
150,205.4
151,184.8
152,223.8
153,235.8
154,279.4
155,230.4
156,234.4
157,278.2
158,241.4
159,240.2
160,242.8
161,255
162,221
163,205.8
164,284.4
165,197
166,213.4
167,199.8
168,201.8
169,232
170,269.8
171,200
172,176.6
173,221.6
174,212.4
175,299.6
176,242.8
177,230.6
178,290.8
179,229.4
180,232
181,297.8
182,299.6
183,222.4
184,216.8
185,198.6
186,214.4
187,232
188,330.4
189,218.4
190,271.8
191,265.4
192,345.4
193,240.6
194,280.2
195,199.4
196,270.4
197,269
198,208.6
199,184.2
200,194.4
201,231
202,166.2
203,162
204,180.8
