batch,average_reward
0,107
1,79
2,107.8
3,99.2
4,83
5,102.8
6,64
7,77
8,83.8
9,80.2
10,85.6
11,95
12,72.6
13,114.4
14,84.2
15,103
16,83
17,107.6
18,89.6
19,89
20,97.8
21,87.8
22,143.8
23,110
24,100.8
25,129.6
26,82.4
27,120.8
28,123
29,109.6
30,119.2
31,131
32,123.6
33,148
34,118.4
35,182.2
36,119.4
37,141.2
38,156.8
39,137.6
40,140.6
41,201.6
42,112.8
43,186
44,190.2
45,185.6
46,150.4
47,164.8
48,186.6
49,213.6
50,199
51,156.8
52,121.2
53,153.4
54,171.4
55,287.8
56,162
57,165.6
58,285.2
59,223
60,212.2
61,167.2
62,181.4
63,216.8
64,228.6
65,188
66,262.8
67,271.2
68,216.2
69,261.4
70,278.8
71,229.2
72,219.6
73,228.4
74,251.4
75,266.4
76,172.8
77,223.4
78,303.6
79,233
80,204
81,297.4
82,215.4
83,234.2
84,222
85,187.4
86,197
87,240
88,214.6
89,217.2
90,274.8
91,207
92,221
93,300
94,195.4
95,249.8
96,298
97,229.6
98,312.6
99,202.4
100,199.4
101,294.4
102,181
103,199
104,234.4
105,272.6
106,199
107,234.8
108,220
109,216.4
110,235.6
111,203.2
112,209.8
113,270.2
114,219.6
115,278.4
116,240.8
117,206.6
118,210.8
119,215.4
120,225.8
121,259.2
122,280.8
123,229.2
124,291.8
125,213.8
126,236
127,233.6
128,228.8
129,188.6
130,220.4
131,302.8
132,324.8
133,251
134,255.2
135,229.6
136,250
137,283.8
138,212
139,287.4
140,201
141,237.8
142,249.4
143,250.6
144,222
145,244.6
146,210.4
147,217.6
148,248.8
149,222.4
150,207.4
151,249.4
152,189.4
153,206.4
154,239.6
155,229
156,212
157,296
158,234.2
159,226.4
160,218.8
161,267.2
162,351.2
163,287.2
164,222.2
165,215.2
166,265.4
167,279
168,240.2
169,281.4
170,238.8
171,224.8
172,266.4
173,231.2
174,267.2
175,298.2
176,261.8
177,227.4
178,244.4
179,213
180,211.2
181,289.6
182,191.6
183,236.8
184,248.6
185,229.4
186,267.6
187,256
188,307.6
189,283.8
190,233.2
191,289.4
192,230.2
193,265
194,251.4
195,247
196,299
197,294.2
198,289.4
199,263
200,228
201,212.6
202,317.8
203,209.8
204,286.6
205,214.4
206,288.2
207,228.4
208,309.4
209,277.4
210,289.2
211,326
212,285.2
213,224.8
214,278.2
215,362.4
216,270.2
217,290.4
218,245.6
219,257.2
220,309.4
221,242.4
222,247.4
223,259.8
224,280.8
225,306.4
226,260.4
227,281.4
228,257.2
229,293.8
230,288.4
231,316.2
232,263.2
233,246.8
234,230.6
235,228.2
236,277.4
237,264.8
238,300.6
239,252.4
240,311.2
241,244.2
242,272
243,216.8
244,257
245,244.8
246,317.8
247,323.2
248,311
249,218.8
250,278
251,346.8
252,229.4
253,289.8
254,265
255,250.8
256,255.4
257,273.8
258,329.6
259,274.4
260,323.6
261,339.8
262,260.6
263,348.6
264,301.4
265,269.8
266,293.6
267,338.8
268,233.6
269,248.2
270,294.6
271,265.2
272,235
273,344.2
274,328.8
275,262
276,287.8
277,317.4
278,366.4
279,342.8
280,319.6
281,226.2
282,282.2
283,319.2
284,241.2
285,276.8
286,273.6
287,369.6
288,421.6
289,260.8
290,397.6
291,325.4
292,343.6
293,351
294,282
295,418
296,386.2
297,338.4
298,362.2
299,322.8
300,358
301,242
302,400.8
303,291.2
304,337
305,371.6
306,345
307,338
308,335.8
309,360.4
310,372.4
311,300.2
312,275.8
313,371.8
314,355.6
315,374.4
316,328.8
317,342.4
318,345.2
319,393.8
320,277.6
321,281.4
322,432.2
323,305
324,340.4
325,319.6
326,384.4
327,387.6
328,332.2
329,272.6
330,320
331,313.8
332,352.8
333,317.8
334,288.8
335,327
336,348.4
337,333.8
338,274.8
339,331.2
340,390.4
341,285
342,294.8
343,322.6
344,327.8
345,359
346,296.6
347,370
348,370
349,328.2
350,437
351,320.8
352,296.8
353,336.4
354,357
355,279.6
356,306.8
357,304
358,322.8
359,306.4
360,286.6
361,300.6
362,275.4
363,267.4
364,311.2
365,284.4
366,316.8
367,291.6
368,293
369,308.8
370,270.4
371,353.2
372,263.8
373,246.4
374,361.8
375,241
376,246.8
377,343.6
378,357.4
379,308.6
380,342
381,266.4
382,307
383,299.4
384,348.8
385,229.6
386,356.2
387,334.4
388,249.2
389,293.2
390,322
391,358.4
392,273.8
393,335.6
394,290.4
395,306.6
396,264.8
397,336.6
398,347
399,226.4
400,265.2
401,323.8
402,288.2
403,305.4
404,297.4
405,327
406,255.8
407,339.8
408,374
409,310.6
410,338.8
411,266.2
412,258.6
413,290.6
414,309.6
415,330
416,312.8
417,259.8
418,251.8
419,269.6
420,289.6
421,241.8
422,290
423,310.8
424,280
425,251.4
426,341.6
427,306.8
428,280.2
429,269.2
430,321
431,255.6
432,272.4
433,309
434,259
435,287
