batch,average_reward
0,82.4
1,97.8
2,80.2
3,64.4
4,137
5,81.4
6,80
7,98.4
8,104
9,91
10,78
11,112.4
12,86.2
13,113.2
14,105.2
15,105.2
16,59.2
17,81.6
18,83.2
19,78.4
20,97.2
21,94.4
22,84.8
23,85
24,68
25,89.2
26,64.4
27,76.4
28,87.4
29,90.6
30,78.4
31,112
32,68.4
33,91.4
34,91.2
35,97.4
36,77.2
37,102.2
38,104.8
39,95.2
40,77
41,89.4
42,75.2
43,85.6
44,75
45,97.6
46,85.8
47,87
48,86
49,148.4
50,74.4
51,100.4
52,111.8
53,90
54,75.6
55,133.2
56,65.8
57,90.2
58,101
59,137.6
60,80.6
61,115.2
62,77.4
63,122
64,90
65,70.2
66,99.4
67,108
68,108.6
69,103.4
70,100.4
71,80.4
72,90.4
73,65.8
74,97.6
75,87.2
76,80.4
77,105.8
78,81.6
79,75.4
80,80.2
81,76
82,76.8
83,106.2
84,96
85,89.4
86,89
87,133.6
88,74
89,98.8
90,88.6
91,94.8
92,76.4
93,77
94,89.2
95,81.2
96,70.8
97,109.4
98,69.4
99,143.8
100,77
101,69.8
102,120.8
103,77
104,119.8
105,112.6
106,96.6
107,76.2
108,103.6
109,135.6
110,102
111,112.6
112,107.6
113,101.6
114,108.2
115,66.8
116,112.8
117,89.4
118,93
119,87
120,110.2
121,93.2
122,93.8
123,110.8
124,100.8
125,118.8
126,78.2
127,95.4
128,78.4
129,100.4
130,95.4
131,97.6
132,73.6
133,74.4
134,78
135,85.8
136,120.6
137,117.4
138,99.2
139,94.6
140,80.6
141,91
142,64.2
143,139.4
144,71.6
145,91.6
146,80
147,106.8
148,121
149,95.8
150,78.2
151,125.4
152,105.8
153,79
154,119.2
155,88.4
156,96.6
157,125.4
158,100.2
159,129.6
160,129.8
161,102.4
162,87.8
163,103.8
164,114.6
165,121
166,122.4
167,105
168,68.4
169,101.8
170,99.4
171,100.4
172,87
173,64.2
174,128.4
175,130.8
176,83.6
177,109.4
178,72.2
179,86.2
180,63
181,111.6
182,89.4
183,135.2
184,95.6
185,133.2
186,76.2
187,92
188,103.4
189,101.6
190,101.4
191,100.8
192,94.4
193,105.8
194,66.8
195,126.4
196,96.6
197,91.8
198,99.2
199,104.4
200,92.2
201,104.2
202,87
203,102
204,104.2
205,132.2
206,102.6
207,144.6
208,107.2
209,89.6
210,66.8
211,119.6
212,85.6
213,139
214,92.2
215,117
216,92
217,102.2
218,121.4
219,103.8
220,94.6
221,96.6
222,122.8
223,134
224,101.2
225,99
226,82.2
227,142.8
228,104.2
229,115.4
230,59.4
231,100.6
232,125.4
233,108
234,99.8
235,98.2
236,113.4
237,142.2
238,110.6
239,128.6
240,93.4
241,106.8
242,105
243,112.2
244,107
245,120.6
246,114.8
247,75.6
248,100.8
249,105.2
250,104.4
251,71.6
252,79.8
253,84.2
254,105.2
255,132.2
256,98.8
257,128.8
258,99
259,155.6
260,111.4
261,77.6
262,129
263,113.4
264,121.2
265,107
266,103.2
267,128.6
268,165.4
269,92.8
270,109.8
271,130.6
272,88.4
273,89.8
274,138
275,107.8
276,113.4
277,131
278,86.4
279,79.2
280,98.2
281,109
282,121
283,88.8
284,118.2
285,142.2
286,141.8
287,91
288,82.8
289,103.8
290,92.6
291,121.6
292,91
293,92.2
294,113
295,99.4
296,122.6
297,96
298,89.8
299,154
300,111.4
301,135.8
302,157
303,130.6
304,127.4
305,157.2
306,96.6
307,121
308,82.6
309,82.2
310,116.6
311,115.2
312,109
313,160.4
314,132.8
315,140.2
316,102.6
317,132.6
318,126.8
319,118
320,174.2
321,83.6
322,83.4
323,97.4
324,135.4
325,108.2
326,81.8
327,151.4
328,102.8
329,89.6
330,124
331,96.8
332,106
333,84.4
334,102.4
335,115.8
336,104.6
337,95.6
338,104.6
339,110.8
340,105.8
341,115.4
342,178.4
343,105
344,61.6
345,89.6
346,116.2
347,114
348,108
349,70.6
350,154.6
351,121.4
352,131
353,87
354,101.4
355,87.4
356,117.2
357,150.4
358,119
359,96.2
360,100
361,140.8
362,93
363,120.4
364,68.8
365,85.6
366,106.8
367,133.6
368,105.4
369,102.4
370,87.6
371,147.2
372,100
373,106
374,113.6
375,116.4
376,159
377,122.6
378,98.8
379,118.2
380,101
381,167.4
382,112
383,137.2
384,102.4
385,121
386,138.6
387,95.8
388,129.2
389,94.2
390,117.2
391,119.4
392,113
393,135.8
394,111.8
395,111.2
396,155.4
397,88.4
398,131.6
399,89.8
400,112.2
401,127
402,121.6
403,106.8
404,96
405,114.2
406,141
407,113.2
408,159.8
409,116
410,90.2
411,91.4
412,105.8
413,104
414,109.6
415,134
416,97.8
417,110
418,140.2
419,123
420,103.8
421,60.6
422,140
423,98.4
424,149.6
425,85
426,92
427,116.6
428,127
429,123.4
430,95.2
431,144.2
432,145.2
433,128.2
434,141.6
435,100.4
436,126.4
437,65.8
438,87.4
439,110.4
440,153.6
441,105.4
442,98.2
443,155.2
444,128
445,112.4
446,111
447,91.6
448,141.4
449,95.4
450,127.6
451,127
452,152
453,134.2
454,133.2
455,136.6
456,180.6
457,91.2
458,154.8
459,129
460,101.8
461,117
462,131.8
463,116.2
464,169.6
465,158.4
466,109.4
467,144.8
468,166
469,93.8
470,123.6
471,116.2
472,121.6
473,116.6
474,119.4
475,83.8
476,129.6
477,119.6
478,96
479,115
480,141.8
481,115.2
482,126.6
483,144.8
484,143.2
485,159.6
486,104
487,102
488,113.6
489,117.6
490,141.2
491,86
492,100.4
493,143.2
494,105.6
495,76.6
496,115.8
497,120.8
498,135.4
499,117.8
500,141.4
501,98.4
502,120.8
503,155.6
504,105.4
505,123.6
506,87.4
507,133.8
508,101.8
509,122.2
510,130.4
511,126.8
512,159.6
513,90.2
514,123.8
515,117.8
516,106
517,146.6
518,164.2
519,91
520,114.4
521,109.8
522,121.8
523,127.6
524,141.6
525,155.8
526,129.8
527,87.8
528,147.4
529,118
530,149.2
531,111.2
532,122.6
533,166.2
534,100.8
535,137.2
536,139.4
537,137.2
538,108.2
539,155
540,156.2
541,138.4
542,110.6
543,134.2
544,165.6
545,124.6
546,192.4
547,150
548,148.4
549,136.8
550,84
551,88.8
552,91.8
553,118.8
554,172.2
555,158
556,155.4
557,155
558,121.4
559,111.4
560,114.4
561,110.6
562,111.2
563,171.4
564,94.8
565,133.6
566,115.4
567,99.4
568,109
569,104.8
570,113.6
571,76
572,94.6
573,96.4
574,121.6
575,139
576,153.4
577,123
578,143
579,120.4
580,93.8
581,104.4
582,106.8
583,135.6
584,139.4
585,112
586,125.2
587,142.4
588,105.4
589,152.8
590,134.8
591,103.4
592,119.6
593,110
594,125.2
595,99.2
596,160
597,111.2
598,165
599,207
600,157
601,139.2
602,116.4
603,146.4
604,160.8
605,151.4
606,156.6
607,112.8
608,72.8
609,141.6
610,134
611,151.2
612,108
613,116.2
614,118.8
615,106.8
616,102.6
617,125.2
618,131.2
619,90.6
620,135.8
621,103.8
622,135.6
623,137.2
624,106.2
625,130
626,103.4
627,129.8
628,132.4
629,77
630,151.8
631,144
632,169
633,145.2
634,170.8
635,153.2
636,104.6
637,115.4
638,133
639,103
640,118.6
641,132.4
642,146.6
643,103.6
644,139.4
645,125.8
646,135
647,131.2
648,127.2
649,142.4
650,109.8
651,108.2
652,130.6
653,121.8
654,97.2
655,97.2
656,149.4
657,129
658,80.8
659,128.6
660,167.2
661,121.8
662,148.6
663,130
664,157.4
665,145.4
666,119.6
667,134
668,112.8
669,248.6
670,157.8
671,202.6
672,146
673,115.2
674,162.4
675,147.8
676,106.8
677,173
678,131
679,135.4
680,135
681,84.4
682,135
683,109.2
684,136
685,164.6
686,132.2
687,140.6
688,151.2
689,114.6
690,153.8
691,128.2
692,134.4
693,129.4
694,176.8
695,158.4
696,81.8
697,160.8
698,131.6
699,87.8
700,181.8
701,172
702,131.6
703,131.4
704,114.4
705,124.2
706,90.8
707,136.4
708,140.6
709,125.6
710,134.6
711,122.4
712,138.2
713,175.8
714,139.4
715,147.2
716,102.4
717,180.6
718,188.8
719,142.4
720,141.2
721,98.8
722,122.6
723,114.4
724,155.4
725,130.4
726,169.2
727,102.2
728,171
729,100
730,130.6
731,156.6
732,159
733,107.8
734,108.8
735,137.6
736,153.6
737,149.6
738,184.8
739,135.4
740,113.4
741,139.2
742,142.8
743,147
744,148.8
745,182.6
746,155.4
747,176.8
748,144.8
749,146.4
750,174.6
751,121.2
752,117
753,134.2
754,136.4
755,204
756,180.6
757,116.8
758,146
759,106.4
760,176.2
761,128
762,141.2
763,165.4
764,136
765,133.4
766,127.4
767,185.2
768,154.8
769,192.4
770,130
771,156.2
772,150.4
773,125
774,131.4
775,159.8
776,119.4
777,157.2
778,145.8
779,158
780,140.4
781,136
782,95.8
783,185.8
784,140.6
785,131
786,157.4
787,137.4
788,122.2
789,230.4
790,150.6
791,167.8
792,177.2
793,197.4
794,157.4
795,125.4
796,141.2
797,171.6
798,133
799,164.6
800,158.6
801,91.2
802,141.6
803,136.8
804,170.4
805,149.2
806,134
807,153
808,113.2
809,130.6
810,149.8
811,197.6
812,110.2
813,187.4
814,157.4
815,133
816,150.8
817,108.4
818,88.2
819,116.6
820,111.2
821,129.6
822,164.8
823,96.2
824,123.4
825,150.4
826,109.8
827,147
828,168.4
829,89.4
830,160.8
831,137.2
832,161.6
833,152.6
834,120.6
835,192.2
836,114
837,129.4
838,139
839,130.2
840,102.4
841,119.4
842,120.8
843,165.6
844,125
845,153.2
846,128.2
847,122.8
848,143.8
849,121.2
850,158.8
851,124.2
852,166.8
853,120.2
854,192
855,214.8
856,100
857,114.4
858,140.4
859,153.2
860,146
861,98.2
862,90.2
863,144.8
864,121
865,165
866,183
867,118.4
868,173
869,203.4
870,97.2
871,112.8
872,174.2
873,172.6
874,130.2
875,147
876,143.4
877,98.4
878,150.6
879,179.4
880,137.2
881,127.4
882,169.2
883,155.6
884,154.8
885,152.2
886,129.8
887,127.6
888,181.8
889,137.6
890,165
891,146
892,110.6
893,171.8
894,161.6
895,115.6
896,146.2
897,160.6
898,144.2
899,135.2
900,144.2
901,144.8
902,123.2
903,122.6
904,100.6
905,171.8
906,144.2
907,167.8
908,152.4
909,137.8
910,179.4
911,143
912,176.2
913,138
914,135
915,139
916,144.4
917,181.2
918,186.8
919,167.2
920,165.2
921,146.6
922,113.2
923,158.8
924,181.8
925,129
926,170.2
927,157.4
928,143
929,118.2
930,132.8
931,136.2
932,175.6
933,156.4
934,123.4
935,136.4
936,139.8
937,147.4
938,90
939,148.4
940,164.4
941,138.2
942,117.2
943,142.4
944,169.4
945,137.4
946,129.2
947,163.6
948,175.4
949,158.8
950,186
951,114.6
952,136.6
953,125.2
954,201.6
955,150.2
956,184.6
957,142.4
958,107.8
959,205.2
960,118
961,178.4
962,216.6
963,160.6
964,127
965,180.6
966,148
967,120.4
968,126.2
969,126.8
970,170.2
971,126.4
972,148.4
973,132.8
974,131.8
975,152
976,105.6
977,151
978,138.8
979,128.8
980,126.8
981,176.4
982,194.2
983,161
984,190.4
985,196.8
986,178.8
987,155.2
988,131.2
989,128.2
990,140.8
991,108.4
992,138.4
993,131
994,139.6
995,102.2
996,189.6
997,183
998,144
999,140.4
1000,161.6
1001,190.4
1002,180.6
1003,125.8
1004,174.8
1005,153.2
1006,173.6
1007,138.4
1008,155.2
1009,138.2
1010,142.4
1011,154.2
1012,207
1013,213.4
1014,162
1015,154.2
1016,139.2
1017,188.6
1018,114.2
1019,182.4
1020,143.8
1021,152.2
1022,156.4
1023,109.8
1024,178.2
1025,148.4
1026,128.6
1027,151.2
1028,129.2
1029,133.2
1030,153
1031,182.6
1032,125.6
1033,184
1034,162.6
1035,132.2
1036,151.6
1037,114.6
1038,123.4
1039,117.4
1040,135.8
1041,109
1042,175.8
1043,184.4
1044,171.4
1045,239.8
1046,132.6
1047,174.4
1048,132.2
1049,177
1050,114
1051,175.4
1052,227.6
1053,166.2
1054,144.2
1055,138
1056,144.4
1057,115.6
1058,149.8
1059,151
1060,115.2
1061,161.6
1062,130.2
1063,120.6
1064,141.2
1065,134.2
1066,139.2
1067,144.4
1068,134.8
1069,136.8
1070,131.8
1071,104.6
1072,126.4
1073,134.4
1074,188
1075,139
1076,151.6
1077,180.8
1078,135
1079,173.6
1080,135.2
1081,162.2
1082,147.4
1083,130.4
1084,200.2
1085,125.8
1086,107
1087,141
1088,149.2
1089,174.2
1090,145.6
1091,116.6
1092,150.8
1093,112.8
1094,190.2
1095,188.6
1096,131.2
1097,143.8
1098,178.6
1099,178.8
1100,227.6
1101,114.6
1102,155.8
1103,142
1104,160
1105,187.2
1106,143.6
1107,170.2
1108,232.2
1109,150.6
1110,150.4
1111,164
1112,150.8
1113,173.6
1114,149.8
1115,135.8
1116,128.6
1117,158.2
1118,178.6
1119,192.4
1120,170.4
1121,144.4
1122,162.2
1123,161.6
1124,189.4
1125,207.4
1126,175.6
1127,127.6
1128,162.8
1129,169.4
1130,154
1131,157.4
1132,180.8
1133,126.4
1134,115
1135,170.2
1136,192
1137,143.2
1138,160.6
1139,198.8
1140,123.4
1141,145.4
1142,121
1143,129.2
1144,214.6
1145,134.6
1146,121.2
1147,136
1148,183
1149,189.2
1150,153.6
1151,139.2
1152,180.2
1153,165.4
1154,194
1155,187.2
1156,137
1157,117.6
1158,168.6
1159,168.6
1160,164.4
1161,131.8
1162,138.4
1163,142.8
1164,112
1165,188.8
1166,125.6
1167,108.2
1168,215.6
1169,141.4
1170,129.6
1171,205.4
1172,162.2
1173,120.2
1174,143.6
1175,134.4
1176,156
1177,116.6
1178,193.6
1179,158.8
1180,206.4
1181,169.2
1182,142.2
1183,141.2
1184,201.8
1185,142.6
1186,169
1187,145.8
1188,157.6
1189,152.6
1190,166.4
1191,122.2
1192,175.2
1193,163.2
1194,174
1195,170.8
1196,129
1197,115.2
1198,243.8
1199,139.2
1200,185.4
1201,224.8
1202,181.4
1203,219.2
1204,182.4
1205,139.6
1206,208.4
1207,166.6
1208,154.4
1209,160.6
1210,172.6
1211,181
1212,210.6
1213,163.8
1214,160.4
1215,176.4
1216,177.8
1217,195.2
1218,187.6
1219,182.6
1220,154.2
1221,184.8
1222,152.6
1223,153
1224,117
1225,119.6
1226,160.2
1227,186.6
1228,132.8
1229,137.4
