batch,average_reward
0,90.4
1,86.4
2,104.6
3,92.6
4,73
5,110.4
6,100.6
7,68.4
8,127.2
9,107.8
10,100.6
11,84.4
12,90
13,102.6
14,85.4
15,85.6
16,93.6
17,108.8
18,111
19,56
20,117.4
21,95
22,77.2
23,87.6
24,83.4
25,62
26,68.4
27,73
28,83.8
29,101.6
30,110.4
31,93.6
32,112.4
33,74.6
34,70.6
35,70.6
36,95.8
37,92
38,84.4
39,79.8
40,107
41,94.8
42,95.2
43,81.4
44,78.2
45,72.2
46,90.4
47,120.6
48,81
49,117.8
50,91
51,74.8
52,108.2
53,70
54,105.8
55,84.2
56,62.8
57,76.2
58,106.2
59,84
60,90
61,70.2
62,74.6
63,82.6
64,92
65,108
66,78.8
67,82.8
68,62.4
69,84.8
70,76.2
71,101.4
72,69.6
73,75.2
74,67.6
75,76.2
76,75.4
77,68
78,90.4
79,86.4
80,98.8
81,101.4
82,113.2
83,102.6
84,124.6
85,85.4
86,79.2
87,69.2
88,105
89,85.2
90,109
91,86.2
92,96.8
93,72.4
94,109.2
95,66
96,72.2
97,95.6
98,112.8
99,93.4
100,85.6
101,101.2
102,79.6
103,111.4
104,69.2
105,110.4
106,64.8
107,107.8
108,58.2
109,76.6
110,99
111,94.2
112,82
113,89.6
114,106
115,102.6
116,127
117,79.4
118,98.4
119,92.8
120,79.4
121,89.8
122,101.4
123,99.6
124,70.8
125,63.4
126,82.6
127,94
128,79.4
129,75.6
130,95.2
131,84.2
132,115.8
133,96.4
134,122.6
135,105.4
136,108.8
137,82.4
138,73.4
139,111.8
140,126.4
141,69.4
142,65
143,131.8
144,90.8
145,70.8
146,82
147,106.4
148,104.6
149,97.6
150,74.6
151,120.6
152,137.2
153,157
154,84
155,93
156,151.4
157,109.4
158,81.8
159,126.8
160,96.2
161,71.4
162,84.6
163,132.2
164,96
165,106.2
166,145
167,103.4
168,159
169,86.2
170,82.2
171,67.4
172,73
173,151
174,86
175,90.6
176,71.6
177,112.8
178,93.2
179,85.8
180,78.2
181,92.8
182,100.4
183,81.2
184,147.6
185,94
186,116.4
187,91.8
188,99.6
189,93
190,88.6
191,132.2
192,112.4
193,69.8
194,103.8
195,117.2
196,65.4
197,104
198,72.6
199,131.2
200,96.4
201,122.2
202,120
203,152.2
204,81.6
205,89.6
206,138.4
207,108
208,115.4
209,102
210,91.4
211,117.4
212,114.4
213,96.2
214,96.2
215,102
216,97
217,80.8
218,79
219,112.2
220,98.6
221,97.2
222,101.6
223,91.6
224,129
225,68.2
226,112.6
227,115
228,87.2
229,149.4
230,129.4
231,81.2
232,104.2
233,93.8
234,98
235,86.8
236,142.6
237,108
238,122.2
239,169.8
240,137.6
241,90.2
242,94.6
243,101
244,105.4
245,106
246,138.8
247,124.2
248,132.2
249,86.2
250,120.6
251,123.4
252,80
253,131
254,91.6
255,111.2
256,86.8
257,71.4
258,125.6
259,108.2
260,129
261,163.4
262,95.6
263,82.4
264,111.6
265,159
266,119.4
267,77
268,90.6
269,127.2
270,98.6
271,101.6
272,76
273,86.6
274,145
275,111.8
276,95.4
277,85
278,109.4
279,94.2
280,78
281,158.2
282,125.4
283,107.2
284,172
285,105.4
286,151.4
287,92.6
288,127.6
289,78.2
290,121
291,122.4
292,98.2
293,131.2
294,118.4
295,128.2
296,79.6
297,73
298,125.4
299,120.4
300,109.2
301,122.8
302,94.4
303,84
304,118
305,107.4
306,68
307,76
308,87.4
309,120
310,119
311,88.4
312,115
313,83.2
314,94.6
315,131.4
316,84
317,89.2
318,103
319,98.4
