batch,average_reward
0,107.6
1,73.2
2,70.6
3,88.4
4,84.4
5,92.2
6,98.4
7,67.2
8,82
9,66.4
10,87.2
11,87.2
12,78.2
13,89.6
14,91
15,67
16,87.4
17,88.2
18,103.4
19,106
20,90.2
21,76
22,150.4
23,91
24,60.2
25,90.8
26,152
27,112.2
28,111
29,114.2
30,77.6
31,87.2
32,87.2
33,93.4
34,80.8
35,89.6
36,83.2
37,83
38,92.2
39,123.6
40,106
41,104.4
42,80.4
43,113.2
44,91.6
45,123.8
46,109.2
47,76.2
48,61.8
49,114.4
50,78
51,81.2
52,82
53,101.6
54,106.6
55,88.4
56,81.4
57,110
58,129.2
59,87.4
60,147.8
61,108.6
62,85.6
63,132.6
64,88
65,104.6
66,128.4
67,90
68,110
69,89
70,109.4
71,100.8
72,89.8
73,122.4
74,125.6
75,129.6
76,82.4
77,107
78,134.2
79,136.2
80,103.2
81,85.4
82,148.8
83,116.4
84,97.4
85,105
86,100
87,99.8
88,113.2
89,92.6
90,142.8
91,68
92,123.8
93,106.2
94,78.6
95,103.4
96,163.4
97,113
98,123.8
99,102
100,106.2
101,129.8
102,106.2
103,72.6
104,113.4
105,91
106,158.6
107,98.4
108,127
109,154.6
110,196.4
111,125.2
112,154.2
113,91.4
114,112.2
115,99.4
116,116.2
117,104.8
118,92.2
119,110.4
120,147
121,110.2
122,134.6
123,130.4
124,112.4
125,140
126,143
127,208.8
128,120.6
129,102.6
130,175.2
131,115.4
132,86
133,115.8
134,154.4
135,160.8
136,114.6
137,166.2
138,107.2
139,144.8
140,171.8
141,127.2
142,123.2
143,160.4
144,137.4
145,140.2
146,124.6
147,132
148,166.6
149,124.4
150,148.2
151,122.8
152,112.2
153,161.8
154,124
155,217.6
156,130.2
157,128.6
158,133.4
159,169
160,129.8
161,164.2
162,138.4
163,162.6
164,141.6
165,191.2
166,146.4
167,131.2
168,187.2
169,123.6
170,117.4
171,104.4
172,213
173,217.4
174,102
175,217.6
176,145
177,138.4
178,121.2
179,198.4
180,166
181,162
182,123.2
183,119.4
184,147.8
185,144.6
186,132.6
187,126.4
188,182.6
189,89
190,167.8
191,135.8
192,142.4
193,151.8
194,187.6
195,163
196,125.8
197,182.6
198,140.8
199,222.2
200,210.2
201,189.4
202,137
203,176
204,153.2
205,159
206,218.4
207,296.8
208,170.2
209,180.4
210,188.2
211,142
212,181.2
213,130.4
214,156.2
215,165.8
216,224.8
217,143.8
218,190.4
219,300.6
220,230.2
221,238.8
222,148.4
223,197
224,156.8
225,162
226,214.4
227,176.6
228,146.6
229,179.6
230,223.4
231,152.6
232,131.2
233,149.4
234,212.2
235,175.2
236,216
237,191.8
238,264.8
239,164.4
240,243.4
241,190
242,147.4
243,203.2
244,196
245,174.8
246,159
247,200.2
248,211.2
249,167.6
250,214.8
251,210.2
252,145
253,181.4
254,218
255,151.6
256,198.2
257,239.2
258,248.8
259,228.4
260,264.8
261,277.2
262,292.4
263,190.4
264,207
265,215.4
266,167
267,278.8
268,286
269,275.4
270,209.6
271,311.8
272,234.2
273,181.4
274,191
275,254
276,294.8
277,256.4
278,144
279,261.2
280,229.2
281,194.4
282,189.4
283,204.6
284,242.4
285,309
286,217
287,232.8
288,204.6
289,260
290,234.6
291,200.8
292,219.2
293,189.8
294,239.8
295,203
296,159
297,200.6
298,197
299,226.8
300,212.2
301,178
302,219.2
303,254
304,238.2
305,245.4
306,194.6
307,211.2
308,240
309,173.2
310,201.6
311,240.2
312,211.6
313,245
314,237.2
315,231.2
316,175.6
317,271.4
318,263
319,217.4
320,318.4
321,196.2
322,230.4
323,172.4
324,204.4
325,222
326,189
327,208.8
328,224.8
329,261.6
330,211.2
331,192
332,284.4
333,250.2
334,277.6
335,195.2
336,252
337,243.2
338,220
339,221
340,216.8
341,299
342,280
343,166
344,192.4
345,265.6
346,172.8
347,197
348,213.8
349,329.8
350,180.6
351,211.8
352,190.8
353,286.4
354,219.4
355,273.8
356,202.6
357,188.8
358,184.6
359,215.4
360,205.4
361,203.8
362,267.4
363,238
364,214.2
365,216.4
366,193.8
367,263.6
368,205.8
369,276.4
370,214
371,259.6
372,277.4
373,234.8
374,248.6
375,302.2
376,227.6
377,300.4
378,235.2
379,272.6
380,270.6
381,237
382,239.4
383,254.6
384,276.4
385,243.8
386,210.8
387,263.2
388,205.2
389,380.2
390,224.6
391,241.4
392,238.4
393,274.6
394,256
395,213.8
396,219.2
397,242.8
398,222.2
399,236
400,248.4
401,224.2
402,265
403,179.8
404,245.6
405,213
406,199
407,334.6
408,246.6
409,255
410,235.6
411,247
412,217
413,182.4
414,261.8
415,205.8
416,282.6
417,184.8
418,230.4
419,209.2
420,237
421,218.4
422,270
423,234
424,286.6
425,300
426,235.8
427,291
428,272.8
429,296
430,245.6
431,232
432,324
433,198.8
434,286
435,256.8
436,349.6
437,219.6
438,209.8
439,231.4
440,324.2
441,188.6
442,235.2
443,230.8
444,273
445,269.6
446,283.8
447,253.2
448,221.6
449,235
450,232.4
451,208.4
452,228.2
453,186.8
454,259.4
455,264.4
456,244
457,185.6
458,257.2
459,272.4
460,245.4
461,242.6
462,243.2
463,322
464,226.4
465,226.6
466,227.4
467,223.2
468,290
469,221.2
470,300.4
471,236
472,233.2
473,357.2
474,224.2
475,270
476,234
477,203.4
478,255
479,304.2
480,233.6
481,247.8
482,274.6
483,293.6
484,244.4
485,240.2
486,184.4
487,168.2
488,278.6
489,271.2
490,254.4
491,243.8
492,245.2
493,254.6
494,302.6
495,240.2
496,281.4
497,240
498,212.8
499,303.8
500,277.6
501,289.6
502,275.2
503,239
504,292.6
505,203.6
506,242.8
507,251
508,327
509,280
510,215
511,263.6
512,238.8
513,261
514,227.8
515,250.4
516,240.6
517,261.4
518,272.2
519,305.4
520,257
521,293.4
522,216.4
523,184.8
524,323
525,325.6
526,339
527,302.4
528,258.4
529,253.8
530,236
531,293.4
532,256.8
533,267
534,279.4
535,259.4
536,220.8
537,333.8
538,295.2
539,313
540,235.4
541,294.6
542,232
543,319
544,256
545,253.2
546,321.6
547,227.4
548,317.4
549,225
550,267.6
551,321.2
552,240.6
553,253.6
554,223.4
555,307.4
556,255
557,286.2
558,235.8
559,353.2
560,269.2
561,255.2
562,269.6
563,238.6
564,358.6
565,186.2
566,268.8
567,265
568,209
569,274.4
570,256.2
571,257.2
572,273.4
573,290.6
574,195
575,232.8
576,216
577,198.2
578,271.2
579,185.2
580,245.6
581,276
582,311.6
583,208.6
584,265.8
585,194.8
586,296.4
587,338.2
588,269.4
589,278.8
590,248.8
591,301.8
592,252.4
593,265.2
594,253.2
595,235.4
596,234.8
597,223
598,323.8
599,264.2
600,314.6
601,203
602,208.6
603,282.8
604,344
605,265.6
606,229.4
607,248.6
608,256.2
609,288.6
610,274.6
611,274
612,217
613,329
614,345.6
615,286.2
616,270.8
617,271.6
618,327.8
619,282.4
620,299.8
621,213.2
622,291.2
623,253.4
624,267.2
625,284.6
626,279.8
627,323.6
628,332.6
629,239.4
630,258
631,227.4
632,272
633,213.8
634,260.6
635,332.8
636,227.2
637,300.6
638,256.2
639,231.4
640,260.8
641,278.2
642,231.4
643,268.2
644,324.6
645,319.6
646,287.8
647,221.2
648,240
649,223.2
650,293.4
651,316.8
652,246.8
653,321.2
654,237
655,268.6
656,262.2
657,316.4
658,264.8
659,245.8
660,268
661,271.4
662,265.4
663,291.2
664,311
665,245.4
666,269
667,291.8
668,257.6
669,330.2
670,334
671,261.8
672,260.6
673,351.6
674,350.6
675,248.6
676,249.4
677,245
678,206.2
679,273.8
680,241.4
681,277.4
682,249.8
683,291.6
684,266.6
685,261
686,365.8
687,257.8
688,274.2
689,176
690,254.6
691,209.2
692,218.2
693,238
694,369.8
695,235.8
696,379.2
697,239.6
698,213.6
699,234.4
700,305.8
701,261.2
702,293
703,299.4
704,223.4
705,220
706,295.8
707,365
708,195.4
709,291.6
710,272.4
711,246.8
712,264.4
713,270
714,220.6
715,288
716,284.6
717,271
718,313.4
719,235.2
720,325.4
721,266
722,354.6
723,226.4
724,226.2
725,300.4
726,237.6
727,360.2
728,264.4
729,254.8
730,284.4
731,294.4
732,260.4
733,311.6
734,267.4
735,219.8
736,305
737,226.6
738,236.2
739,262.6
740,292.2
741,297.2
742,282.8
743,320.4
744,261.2
745,255
746,256
747,191.2
748,292.2
749,299
750,212.8
751,253.2
752,339
753,228.6
754,312
755,288.4
756,293.8
757,357.4
758,270.6
759,294
760,236.2
761,232.4
762,267
763,289.8
764,238.6
765,197.2
766,257.4
767,292
768,249.6
769,362.8
770,328.4
771,282.2
772,269.6
773,307
774,329.8
775,291.8
776,245
777,272.8
778,297.4
779,269.2
780,298.8
781,267.2
782,274.6
783,304.8
784,237.8
785,305
786,295.2
787,210
788,256
789,313
790,314.8
791,229.2
792,244
793,346.4
794,230.8
795,284.8
796,269.2
797,251.4
798,213.6
799,232.6
800,266.4
801,312.2
802,236
803,292.6
804,260.4
805,302.8
806,248.6
807,309.4
808,300.2
809,276
810,215.6
811,280.6
812,287.6
813,295.6
814,256
815,222.2
816,325.2
817,352.6
818,228
819,302
820,266.8
821,257.4
822,226
823,248.2
824,279.2
825,262.4
826,232.4
827,253
828,260.4
829,332.8
830,308.4
831,285.4
832,304.4
833,296.4
834,294.8
835,294.6
836,229.4
837,255
838,323.4
839,291.4
840,280.6
841,225.2
842,251.2
843,263.2
844,328.8
845,278.2
846,332
847,296.6
848,278.8
849,392.4
850,372.8
851,228.2
852,309.4
853,310
854,266.8
855,189.8
856,310.2
857,270.2
858,362
859,274.4
860,284.8
861,257.2
862,238
863,303.8
864,289.4
865,256.8
866,319.6
867,350.2
868,297.8
869,259.4
870,275
871,248.8
872,274
873,248.6
874,295.8
875,279.4
876,341
877,351.8
878,325.4
879,327.6
880,258.6
881,285.8
882,239.6
883,297.2
884,237
885,276.2
886,227.4
887,281.2
888,233.8
889,237
890,300.4
891,324.4
892,281.8
893,270.4
894,293
895,253.2
896,271.6
897,291.4
898,229
899,247.4
900,365.8
901,330.4
902,222.6
903,265.8
904,276.6
905,255.6
906,259.6
907,312.4
908,243.4
909,238
910,325.4
911,233
912,243
913,300.4
914,310.6
915,260.8
916,286.4
917,347.6
918,275.4
919,309.4
920,299.2
921,312.6
922,286.8
923,334.6
924,303.6
925,281.4
926,280.8
927,280
928,263
929,269.8
930,274.2
931,296.2
932,293.2
933,273.4
934,323.2
935,255.4
936,288
937,315.4
938,273.4
939,303.2
940,318.8
941,328.2
942,291.2
943,274
944,290.2
945,227.8
946,321.6
947,273.2
948,272.8
949,270.4
950,231.8
951,326.4
952,317.8
953,269.4
954,344.8
955,264.4
956,273.2
957,322.8
958,310.8
959,302.2
960,237.6
961,289.4
962,293.2
963,281.2
964,282
965,247.4
966,353.4
967,287.2
968,220.4
969,337.2
970,196.6
971,332.6
972,234
973,286
974,301.4
975,239
976,270.6
977,324
